Purpose,Retained demand,Screened,Immediate,Conditional
Commuting,"1,879,966",40.5%,20.7%,19.8%
shopping,"1,669,529",40.3%,21.6%,18.7%
Education,"507,101",38.7%,20.1%,18.6%
Visiting friends or relatives,"875,546",36.0%,18.3%,17.7%
Holiday/daytrip,"94,721",33.1%,17.4%,15.7%
Sport/Entertainment,"457,784",32.4%,17.0%,15.4%
Eating/Drinking,"254,604",30.1%,15.6%,14.6%
Visit Hospital or other health,"151,108",28.1%,15.1%,13.0%
Other personal business,"293,457",26.0%,13.7%,12.3%
Other Journey,"192,300",26.0%,14.1%,11.9%
Escort,"146,828",24.2%,12.7%,11.5%
Business,"178,620",22.3%,11.4%,10.9%
